Name,URL,Category,Description,City,Country,Tags,Verified
Anthroposophical Society in America,https://anthroposophy.org/,Society/Organization,National headquarters and coordinating body for anthroposophical work in the USA with 120+ local groups and branches in 40 states.,Ann Arbor,USA,anthroposophy;society;study-groups;spiritual-science,Yes
Anthroposophy NYC,https://www.anthroposophynyc.org/,Society/Organization,New York branch of the Anthroposophical Society offering study groups and cultural activities in Manhattan and surrounding areas.,New York,USA,anthroposophy;study-groups;branch;events,Yes
Anthroposophical Society in America - Los Angeles Branch,https://anthroposophyla.org/,Society/Organization,Regional branch in Southern California with study groups and community activities,Los Angeles,USA,anthroposophy;branch;study-groups;california,Yes
Rudolf Steiner House - Ann Arbor,https://www.rudolfsteiner.org/annarbor/,Society/Organization,National headquarters of the Anthroposophical Society in America with library and retreat facilities,Ann Arbor,USA,headquarters;library;waldorf;michigan,Yes
Rudolf Steiner House - London,https://rsh.anth.org.uk/,Society/Organization,Historic Grade II listed building near Regent's Park serving as headquarters for UK anthroposophical work,London,UK,headquarters;library;theatre;bookshop,Yes
Anthroposophy in Great Britain,https://anthroposophy.org.uk/,Society/Organization,National anthroposophical society coordinating UK branches and initiatives,London,UK,anthroposophy;society;uk;branches,Yes
Anthroposophical Society in Canada,https://anthroposophy.ca/en/,Society/Organization,Canadian organization affiliated with the General Anthroposophical Society with member groups and branches,Toronto,Canada,anthroposophy;society;canada,Yes
Anthroposophical Society in Australia,https://www.anthroposophy.org.au/,Society/Organization,Australian organization representing anthroposophical work and member initiatives across the country,Australia,Australia,anthroposophy;society;australia,Yes
General Anthroposophical Society at the Goetheanum,https://goetheanum.ch/en/society,Society/Organization,International headquarters in Dornach coordinating 36+ national societies with approximately 42000 members worldwide,Dornach,Switzerland,headquarters;international;anthroposophy;goetheanum,Yes
Great Lakes Branch of the Anthroposophical Society,https://www.rudolfsteiner.org/annarbor/,Society/Organization,Regional branch in the Great Lakes region serving Michigan and surrounding areas,Ann Arbor,USA,anthroposophy;branch;study-groups,Yes
The Sojourner Branch,https://www.sojournerbranch.org/,Society/Organization,Anthroposophical branch in Western Massachusetts offering workshops and study groups,Western Massachusetts,USA,anthroposophy;branch;study-groups;massachusetts,Yes
Anthroposophy Atlanta,https://anthroposophyatlanta.org/,Society/Organization,Study groups and community activities exploring anthroposophy and Rudolf Steiner in Atlanta region,Atlanta,USA,anthroposophy;study-groups;georgia,Unverified
The Sophia Circle,https://www.anthroposophynefl.org/,Society/Organization,Anthroposophical circles and study groups in Northeast Florida,Jacksonville Beach,USA,study-groups;florida;anthroposophy,Unverified
Association of Waldorf Schools of North America,https://www.waldorfeducation.org/,Society/Organization,Membership organization for 160+ Waldorf schools and 14 teacher training institutes in North America,USA,USA,waldorf;schools;education;accreditation,Yes
Waldorf UK,https://waldorfeducation.uk/,Society/Organization,UK membership organization for Steiner Waldorf schools and kindergartens (formerly SWSF),London,UK,waldorf;schools;education;uk,Yes
Steiner Waldorf Schools Fellowship,https://steinerwaldorf.org/,Society/Organization,International federation of Steiner/Waldorf schools with directory and resources,UK,UK,waldorf;schools;international,Yes
Steiner Education Aotearoa New Zealand,https://www.seanz.org/,Society/Organization,Federation representing Steiner/Waldorf schools in New Zealand,New Zealand,New Zealand,waldorf;schools;new-zealand,Yes
BC Waldorf Collective,https://www.bcwaldorf.com/,Society/Organization,Network of seven Waldorf schools across British Columbia,British Columbia,Canada,waldorf;schools;british-columbia,Unverified
Green Meadow Waldorf School,https://www.greenmeadow.org/,Waldorf School,Founded in 1947 as part of the Spring Valley anthroposophical community,Spring Valley,USA,waldorf;school;new-york;elementary,Yes
Toronto Waldorf School,https://torontowaldorfschool.com/,Waldorf School,Private Waldorf school serving Toronto area from preschool through high school,Toronto,Canada,waldorf;school;canada;kindergarten-12,Unverified
Vancouver Waldorf School,https://vancouverwaldorfschool.ca/,Waldorf School,Independent Waldorf school in North Vancouver offering Steiner education,North Vancouver,Canada,waldorf;school;british-columbia,Unverified
Waldorf Academy Toronto,https://waldorfacademy.org/,Waldorf School,Offers childcare and Waldorf education from early years through 8th grade,Toronto,Canada,waldorf;school;early-childhood;elementary,Unverified
École Rudolf Steiner de Montréal,https://ersm.org/en/elementor-726/,Waldorf School,French-language Waldorf school founded in 1980 as first accredited Waldorf school in Quebec,Montreal,Canada,waldorf;school;quebec;french,Yes
Sunrise Waldorf School,https://www.sunrisewaldorf.org/,Waldorf School,Waldorf school in Duncan BC with focus on Vancouver Island community,Duncan,Canada,waldorf;school;british-columbia,Unverified
South Shore Waldorf School,https://www.southshorewaldorf.ca/,Waldorf School,Waldorf school serving the South Shore region of Nova Scotia,Blockhouse,Canada,waldorf;school;nova-scotia,Unverified
St. Paul's Steiner School,https://www.stpaulssteinerschool.org/home,Waldorf School,Independent Steiner school in North London serving 150+ students,London,UK,waldorf;school;london;elementary,Yes
The St Michael Steiner School,https://stmichaelsteiner.hounslow.sch.uk/,Waldorf School,Steiner school in Hounslow West London,London,UK,waldorf;school;london,Unverified
Steiner Academy Hereford,https://www.steineracademyhereford.org.uk/,Waldorf School,State-funded Steiner Academy in Hereford England,Hereford,UK,waldorf;school;academy;uk,Unverified
South Devon Steiner School,https://sdsteiner.org/,Waldorf School,Independent Steiner school in rural Devon focusing on holistic education,Devon,UK,waldorf;school;devon;south-west,Unverified
York Steiner School,https://www.yorksteinerschool.org/,Waldorf School,Steiner school in Yorkshire providing Waldorf education,York,UK,waldorf;school;yorkshire,Unverified
Titirangi Rudolf Steiner School,https://titirangi.steiner.school.nz/,Waldorf School,Steiner school in Wellington New Zealand with integrated primary and secondary education,Wellington,New Zealand,waldorf;school;new-zealand;secondary,Unverified
Waikato Waldorf School,https://www.waikatowaldorf.school.nz/,Waldorf School,State Integrated Waldorf school in Waikato region of New Zealand,Waikato,New Zealand,waldorf;school;new-zealand;state-integrated,Unverified
Raphael House Rudolf Steiner School,https://raphaelhouse.school.nz/,Waldorf School,Rudolf Steiner school in New Zealand offering integrated education,New Zealand,New Zealand,waldorf;school;new-zealand,Unverified
Tauranga Waldorf School,https://waldorftga.school.nz/,Waldorf School,Waldorf school in the Bay of Plenty region of New Zealand,Tauranga,New Zealand,waldorf;school;new-zealand,Unverified
Demeter USA,http://demeter-usa.org/,Biodynamic Farm,Biodynamic certification organization for farms and products in the United States,Phoenixville,USA,biodynamic;certification;agriculture;demeter,Yes
Biodynamic Association,https://www.biodynamics.com/,Society/Organization,US-based nonprofit promoting biodynamic agriculture through education and advocacy,Milwaukee,USA,biodynamic;agriculture;education;nonprofit,Yes
Biodynamic Association UK,https://www.biodynamic.org.uk/,Society/Organization,UK charitable organization founded in 1929 supporting biodynamic farming and gardening,UK,UK,biodynamic;agriculture;uk,Yes
Biodynamic Agriculture Australia,https://biodynamics.net.au/,Society/Organization,Organization promoting biodynamic approaches to farming in Australia,Australia,Australia,biodynamic;agriculture;australia,Yes
Biodynamic Association New Zealand,https://biodynamic.org.nz/,Society/Organization,New Zealand organization fostering biodynamic agriculture and horticulture,New Zealand,New Zealand,biodynamic;agriculture;new-zealand,Yes
Demeter International,https://demeter.net/,Society/Organization,International certification federation for biodynamic agriculture with 46 member organizations in 36 countries,Dornach,Switzerland,biodynamic;certification;international,Yes
Kimberton CSA,https://www.kimbertoncsa.org/,Biodynamic Farm,First CSA in Pennsylvania established in 1987 with 10 acres of biodynamic organic vegetables,Kimberton,USA,biodynamic;csa;pennsylvania;organic,Yes
Marian Farms,https://www.marianfarmsbiodynamic.com/,Biodynamic Farm,Biodynamic farm in Central Valley producing fruits and vegetables,Central Valley,USA,biodynamic;farm;california,Unverified
Discover Biodynamics,https://discoverbiodynamics.com/,Biodynamic Farm,Directory of biodynamic farms across the United Kingdom,UK,UK,biodynamic;directory;uk,Unverified
Biodynamic Farm and Product Directory,https://biodynamicfood.org/,Biodynamic Farm,Online directory allowing browsing of Demeter-certified biodynamic operations by sales type,International,International,biodynamic;directory;certification,Yes
Camphill Association of North America,https://www.camphill.org/,Society/Organization,Membership organization for 15 North American Camphill communities,USA,USA,camphill;intentional-community;association,Yes
Camphill Village USA (Copake),https://www.ic.org/directory/camphill-village-usa-inc/,Intentional Community,Lifesharing community of 250 people including 100+ adults with developmental disabilities,Copake,USA,camphill;intentional-community;new-york;therapeutic,Yes
Camphill Communities California,https://camphillca.org/,Intentional Community,Inclusive life-sharing community for adults in Central California,Soquel,USA,camphill;intentional-community;california;inclusive,Yes
Camphill Village Minnesota,https://www.camphillminnesota.org/,Intentional Community,Lifesharing community of 45 people in Minnesota,Minnesota,USA,camphill;intentional-community;minnesota,Unverified
Heartbeet Camphill Community,https://www.heartbeetcamphill.org/,Intentional Community,Therapeutic residence and lifesharing community in Vermont for adults with developmental disabilities,Vermont,USA,camphill;intentional-community;vermont;therapeutic,Unverified
Raphael Village New Orleans,https://www.raphaelvillage.org/,Intentional Community,Camphill-inspired community supporting young adults with disabilities,New Orleans,USA,camphill;intentional-community;louisiana,Unverified
Oakwood Life-Sharing Services,https://www.oakwoodcls.org/,Intentional Community,Camphill community near West Plains Missouri,West Plains,USA,camphill;intentional-community;missouri,Unverified
Triform Camphill Community,https://www.triformcamphill.org/,Intentional Community,Camphill community in Hudson New York,Hudson,USA,camphill;intentional-community;new-york,Unverified
Camphill Village Kimberton Hills,https://unknown.placeholder,Intentional Community,Founded in 1972 as one of the oldest Camphill communities in North America,Kimberton,USA,camphill;intentional-community;pennsylvania,Unverified
Camphill England and Wales,http://www.camphill.org.uk/communities,Society/Organization,Coordinating body for Camphill communities in England and Wales,UK,UK,camphill;communities;uk,Yes
Camphill Village Trust,https://www.camphillvillagetrust.org.uk/,Society/Organization,Registered charity running multiple Camphill communities across the UK,UK,UK,camphill;communities;uk;charity,Yes
Camphill Scotland,https://www.camphillscotland.org.uk/,Society/Organization,Network of ten Camphill communities in Scotland,Scotland,UK,camphill;communities;scotland,Yes
Camphill Families and Friends,https://camphillfamiliesandfriends.com/,Society/Organization,Support organization for Camphill families and network,UK,UK,camphill;support;families,Unverified
Physicians' Association for Anthroposophic Medicine,https://anthroposophicmedicine.org/,Society/Organization,Professional organization for MDs and DOs practicing anthroposophic medicine with provider directory,USA,USA,anthroposophic-medicine;physicians;network;certification,Yes
Anthroposophic Health Association,https://aharegistration.wildapricot.org/,Society/Organization,Directory of anthroposophic medicine practitioners including doctors and therapists,USA,USA,anthroposophic-medicine;directory;practitioners,Unverified
Society for Physicians of Anthroposophic Naturopathy,https://anthroposophicnaturopaths.org/,Society/Organization,Professional organization for naturopathic doctors trained in anthroposophic naturopathy,USA,USA,anthroposophic-naturopathy;physicians;certification,Unverified
Weleda USA,https://www.weleda.com/,Anthroposophic Medicine,World's leading manufacturer of anthroposophic medicines and natural cosmetics,Irvington,USA,anthroposophic-medicine;pharmacy;cosmetics;weleda,Yes
Weleda Pharmacy,https://www.weleda.com/,Anthroposophic Medicine,Pharmaceutical company manufacturing anthroposophic remedies,Irvington,USA,anthroposophic-medicine;pharmacy;remedies,Yes
WALA Medicines,https://www.wala.world/en/,Anthroposophic Medicine,Manufacturer of anthroposophic medicines founded by Rudolf Hauschka in 1935,Germany,Germany,anthroposophic-medicine;wala;remedies,Yes
Park Attwood Clinic,https://www.positivehealth.com/article/clinical-practice/park-attwood-clinic-an-individual-approach-to-health-care,Anthroposophic Medicine,Britain's only residential anthroposophic medical centre in Worcestershire with therapies and hydrotherapy,Kidderminster,UK,anthroposophic-medicine;clinic;therapies;residential,Yes
Raphael Hospital,https://www.raphaelhospital.co.uk/,Anthroposophic Medicine,The only anthroposophic hospital in the UK serving patients nationwide with 17-acre parkland,Brighton,UK,anthroposophic-medicine;hospital;neurological;rehabilitation,Yes
Klinik Arlesheim,https://www.klinik-arlesheim.ch,Anthroposophic Medicine,First anthroposophic hospital in the world founded in 1921 offering integrative medicine,Arlesheim,Switzerland,anthroposophic-medicine;hospital;integrative;switzerland,Yes
Filderklinik,https://www.mahle-stiftung.de/en/health-and-nursing-care/,Anthroposophic Medicine,Major anthroposophic hospital in Filderstadt Germany founded in 1974 with 33-bed pediatrics ward,Filderstadt,Germany,anthroposophic-medicine;hospital;pediatrics;germany,Yes
Gemeinschaftskrankenhaus Herdecke,https://www.herdecke.de/,Anthroposophic Medicine,University-affiliated anthroposophic hospital integrating conventional and anthroposophic medicine,Herdecke,Germany,anthroposophic-medicine;hospital;university;germany,Unverified
Eurythmy Spring Valley,https://www.eurythmy.org/,Eurythmy/Arts,North America's oldest four-year eurythmy training program in Chestnut Ridge New York,Chestnut Ridge,USA,eurythmy;training;arts;new-york,Yes
American Eurythmy School,https://www.americaneurythmy.org/,Eurythmy/Arts,Four-year eurythmy training near Mount Shasta California founded in 1984,Weed,USA,eurythmy;training;california;arts,Unverified
Sound Circle Eurythmy Training,https://soundcircleeurythmy.org/,Eurythmy/Arts,Full-time four-year eurythmy diploma program in Boulder Colorado,Boulder,USA,eurythmy;training;colorado;arts,Unverified
Peredur Eurythmy,https://peredureurythmy.com/,Eurythmy/Arts,Eurythmy training centre in East Grinstead Sussex evolved from London School of Eurythmy,East Grinstead,UK,eurythmy;training;sussex;arts,Unverified
Eurythmy Association of Great Britain and Ireland,https://www.eurythmyassociation.uk/,Eurythmy/Arts,Professional association for eurythmists in UK and Ireland,UK,UK,eurythmy;professional;association;uk,Unverified
Goetheanum School of Spiritual Science,https://goetheanum.ch/en/school,Society/Organization,International school with 12 sections conducting research and teaching in anthroposophic fields,Dornach,Switzerland,goetheanum;school;spiritual-science;research,Yes
Alanus University,https://www.alanus.edu/en/home,Society/Organization,State-accredited university offering art and social sciences education based on anthroposophy,Alfter,Germany,anthroposophy;university;arts;germany,Yes
Emerson College,https://emerson.org.uk/,Society/Organization,Adult education center for Waldorf teacher training and anthroposophic studies since 1962,Forest Row,UK,waldorf;teacher-training;anthroposophy;uk,Yes
Rudolf Steiner College Canada,https://rscc.ca/,Waldorf School,Full-time Waldorf teacher education program in Canada,Canada,Canada,waldorf;teacher-training;canada,Unverified
Sunbridge Institute,https://www.sunbridge.edu/,Waldorf School,North America's oldest Waldorf teacher education institute offering low-residency programs,Chestnut Ridge,USA,waldorf;teacher-training;education;new-york,Yes
Center for Anthroposophy,https://centerforanthroposophy.org/,Waldorf School,Waldorf teacher education and renewal center in Wilton New Hampshire,Wilton,USA,waldorf;teacher-training;anthroposophy;new-hampshire,Yes
Great Lakes Waldorf Institute,https://www.greatlakeswaldorf.org/,Waldorf School,Three-year Waldorf teacher education program in Milwaukee Wisconsin,Milwaukee,USA,waldorf;teacher-training;wisconsin,Yes
Antioch University Waldorf Education Program,https://www.antioch.edu/academics/education/waldorf-education-med/,Waldorf School,Only accredited Waldorf master's program at fully-accredited university,Keene,USA,waldorf;teacher-training;masters;new-hampshire,Yes
Waldorf Institute of Southern California,https://www.waldorfteaching.org/,Waldorf School,AWSNA and WECAN-recognized Waldorf teacher training program,Southern California,USA,waldorf;teacher-training;california,Unverified
Mount Mary University Waldorf Program,https://mtmary.edu/majors-programs/graduate/education/waldorf-teacher-certificate.html,Waldorf School,Graduate Waldorf teacher certificate program,Milwaukee,USA,waldorf;teacher-training;wisconsin,Unverified
Bay Area Center for Waldorf Teacher Training,https://www.bacwtt.org/,Waldorf School,Waldorf teacher training program in Northern California,San Francisco Bay Area,USA,waldorf;teacher-training;california,Unverified
Sophia Institute,https://www.sophiainstitute.us/,Waldorf School,Waldorf teacher training and foundation courses in anthroposophy,USA,USA,waldorf;teacher-training;anthroposophy;online,Unverified
Rudolf Steiner Press,https://www.rudolfsteinerpress.com/,Publisher/Media,UK publisher of Rudolf Steiner works and anthroposophy books,London,UK,publisher;anthroposophy;rudolf-steiner,Yes
SteinerBooks / Anthroposophic Press,https://steinerbooks.org/,Publisher/Media,Independent US nonprofit publisher and bookshop promoting Rudolf Steiner's works,Spencertown,USA,publisher;anthroposophy;bookshop;nonprofit,Yes
Temple Lodge Publishing,https://www.templelodge.com/,Publisher/Media,Independent UK publisher specializing in anthroposophy and spiritual science,Forest Row,UK,publisher;anthroposophy;spiritual-science,Yes
Anthroposophic Publications Directory,https://anthroposophicalpublications.org/Publishers.html,Publisher/Media,Comprehensive directory of anthroposophical publishers worldwide,International,International,publisher;directory;anthroposophy,Yes
LILIPOH Magazine,https://lilipoh.com/,Publisher/Media,Quarterly magazine on holistic health wellness and anthroposophy,USA,USA,magazine;holistic-health;anthroposophy,Yes
New View Magazine,https://www.newview.org.uk/,Publisher/Media,Quarterly UK magazine exploring anthroposophy and contemporary issues since 1996,London,UK,magazine;anthroposophy;quarterly,Yes
The Present Age,https://www.anthroposophy.org/anthroposophys-press/present-age/,Publisher/Media,Magazine on environmental educational and social issues from anthroposophical perspective,International,International,magazine;anthroposophy;social-issues,Unverified
Golden Blade Journal,https://www.waldorflibrary.org/journals/164-golden-blade,Publisher/Media,Annual journal exploring anthroposophical perspectives on contemporary issues 1949-2009,International,International,journal;anthroposophy;annual,Yes
Being Human Magazine,https://anthroposophy.org/being-human/,Publisher/Media,Official publication of the Anthroposophical Society in America sent to members,USA,USA,magazine;membership;anthroposophy,Yes
Deepening Anthroposophy Newsletter,https://www.deepeninganthroposophy.org/,Publisher/Media,Independent English-language newsletter for anthroposophists worldwide,International,International,newsletter;anthroposophy,Unverified
Research on Steiner Education,https://unknown.placeholder,Publisher/Media,Peer-reviewed academic journal on Waldorf education published biannually,International,International,journal;waldorf;education;peer-reviewed,Yes
Holistic Science Journal,https://unknown.placeholder,Publisher/Media,Interdisciplinary journal bridging sciences and humanities from 2010,International,International,journal;science;humanities,Unverified
Journal for Anthroposophy,https://unknown.placeholder,Publisher/Media,Twice-yearly publication by Anthroposophical Society in America,USA,USA,journal;anthroposophy;membership,Yes
The Anthroposopher Podcast,https://anthroposophy.org/podcast/,Publisher/Media,Official podcast of the Anthroposophical Society exploring anthroposophy in the modern world,USA,USA,podcast;anthroposophy;media,Yes
Extending the Art of Healing Through Anthroposophy,https://healingandanthroposophy.transistor.fm/,Publisher/Media,Podcast exploring health and anthroposophical medicine,International,International,podcast;anthroposophic-medicine,Unverified
Rudolf Steiner Archive,https://rsarchive.org/,Online Resource,Largest digital library of Rudolf Steiner works in English with 6000+ texts,Interlochen,USA,archive;rudolf-steiner;digital;library,Yes
Rudolf Steiner e.Lib,https://www.rudolfsteinerelib.org/,Online Resource,Electronic archive of 6000+ collected works of Rudolf Steiner in English,International,International,archive;rudolf-steiner;digital,Yes
Steiner Online Library,https://rudolfsteinerlibrary.org/,Online Resource,Nonprofit dedicated to preserving and making accessible Rudolf Steiner's works,Interlochen,USA,archive;digital;steiner;nonprofit,Yes
